AnimalID,TS,Lat,Long,TS - 1,Lat - 1,Long - 1
60782,42145.92,36.499140000000004,-31.8468,42145.91,36.49623,-31.827059999999996
60782,42145.95,36.48255,-31.8641,42145.92,36.499140000000004,-31.8468
60782,42145.98,36.48792,-32.00013,42145.95,36.48255,-31.8641
60782,42146.05,36.48755,-32.00011,42145.98,36.48792,-32.00013
60782,42146.12,36.48516,-31.999959999999998,42146.05,36.48755,-32.00011
60782,42146.19,36.4775,-32.08611,42146.12,36.48516,-31.999959999999998
60782,42146.23,36.47514,-32.10559,42146.19,36.4775,-32.08611
60782,42146.25,36.47486,-32.10548,42146.23,36.47514,-32.10559
60782,42146.25,36.45104,-32.271370000000005,42146.25,36.47486,-32.10548
60782,42146.29,36.449459999999995,-32.28367,42146.25,36.45104,-32.271370000000005
60782,42146.3,36.45377,-32.27345,42146.29,36.449459999999995,-32.28367
60782,42146.32,36.42131,-32.38616,42146.3,36.45377,-32.27345
60782,42146.36,36.45433,-32.43957,42146.32,36.42131,-32.38616
60782,42146.37,36.46631,-32.45029,42146.36,36.45433,-32.43957
60782,42146.39,36.46632,-32.45029,42146.37,36.46631,-32.45029
60782,42146.42,36.47903,-32.47121,42146.39,36.46632,-32.45029
60782,42146.42,36.49929,-32.50548,42146.42,36.47903,-32.47121
60782,42146.46,36.51012,-32.523140000000005,42146.42,36.49929,-32.50548
60782,42146.49,36.50741,-32.61684,42146.46,36.51012,-32.523140000000005
60782,42146.53,36.507529999999996,-32.616820000000004,42146.49,36.50741,-32.61684
60782,42146.57,36.536,-32.713390000000004,42146.53,36.507529999999996,-32.616820000000004
60782,42146.59,36.508720000000004,-32.61763,42146.57,36.536,-32.713390000000004
60782,42146.66,36.51024,-32.61846,42146.59,36.508720000000004,-32.61763
60782,42146.73,36.57202,-32.64065,42146.66,36.51024,-32.61846
60782,42146.76,36.56892,-32.63986,42146.73,36.57202,-32.64065
60782,42146.78,36.61633,-32.678290000000004,42146.76,36.56892,-32.63986
60782,42146.83,36.60088,-32.727470000000004,42146.78,36.61633,-32.678290000000004
60782,42146.9,36.61272,-32.75878,42146.83,36.60088,-32.727470000000004
60782,42146.9,36.69408,-32.99863,42146.9,36.61272,-32.75878
60782,42146.93,36.612120000000004,-32.76789,42146.9,36.69408,-32.99863
60782,42147.0,36.66337,-32.92093,42146.93,36.612120000000004,-32.76789
60782,42147.04,36.8683,-33.05032,42147.0,36.66337,-32.92093
60782,42147.18,36.86848,-33.05089,42147.04,36.8683,-33.05032
60782,42147.25,37.07802,-33.23685,42147.18,36.86848,-33.05089
60782,42147.29,37.11636,-33.25522,42147.25,37.07802,-33.23685
60782,42147.3,37.11783,-33.2571,42147.29,37.11636,-33.25522
60782,42147.34,37.1257,-33.26717,42147.3,37.11783,-33.2571
60782,42147.37,37.12851,-33.27077,42147.34,37.1257,-33.26717
60782,42147.37,37.12771,-33.26968,42147.37,37.12851,-33.27077
60782,42147.48,37.1491,-33.31276,42147.37,37.12771,-33.26968
60782,42147.52,37.1389,-33.301970000000004,42147.48,37.1491,-33.31276
60782,42147.66,37.13754,-33.30638,42147.52,37.1389,-33.301970000000004
60782,42147.73,37.14542,-33.3211,42147.66,37.13754,-33.30638
60782,42147.77,37.146609999999995,-33.32308,42147.73,37.14542,-33.3211
60782,42147.81,37.1592,-33.33289,42147.77,37.146609999999995,-33.32308
60782,42147.81,37.14529,-33.33631,42147.81,37.1592,-33.33289
60782,42147.84,37.17046,-33.34162,42147.81,37.14529,-33.33631
60782,42147.87,37.15803,-33.29865,42147.84,37.17046,-33.34162
60782,42147.88,37.17167,-33.32421,42147.87,37.15803,-33.29865
60782,42147.95,37.10575,-33.30427,42147.88,37.17167,-33.32421
60782,42147.99,37.09783,-33.30464,42147.95,37.10575,-33.30427
60782,42148.02,37.08617,-33.308279999999996,42147.99,37.09783,-33.30464
60782,42148.24,37.12305,-33.28974,42148.02,37.08617,-33.308279999999996
60782,42148.28,37.117909999999995,-33.29133,42148.24,37.12305,-33.28974
60782,42148.28,37.12853,-33.29974,42148.28,37.117909999999995,-33.29133
60782,42148.34,37.118,-33.30108,42148.28,37.12853,-33.29974
60782,42148.35,37.1261,-33.2984,42148.34,37.118,-33.30108
60782,42148.39,37.12664,-33.30032,42148.35,37.1261,-33.2984
